Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
07:14.3,0 days 00:20:09.625000,3,544.5088889,0 days 00:05:20.404000,11453,141,3,100,FALSE,8,pos,11298.82318,0.316223361,OnTrack,-208,-892,544
07:14.4,0 days 00:20:09.729000,3,545.0755556,0 days 00:05:20.508000,11714,149,3,100,FALSE,8,car,11303.27278,0.316347893,OnTrack,-212,-930,543
07:14.6,0 days 00:20:09.945000,3,544.1388889,0 days 00:05:20.724000,11139,154,3,100,FALSE,8,pos,11312.73085,0.316612599,OnTrack,-219,-991,543
07:14.7,0 days 00:20:10.010000,3,543.2022222,0 days 00:05:20.789000,10564,160,4,100,FALSE,8,car,11315.76167,0.316697423,OnTrack,-222,-1022,542
07:14.9,0 days 00:20:10.170000,3,540.8022222,0 days 00:05:20.949000,11317,178,4,100,FALSE,8,car,11323.67278,0.316918833,OnTrack,-233,-1123,542
07:15.0,0 days 00:20:10.285000,3,537.8466667,0 days 00:05:21.064000,11340,182,4,100,FALSE,8,pos,11329.58368,0.317084264,OnTrack,-241,-1187,543
07:15.1,0 days 00:20:10.450000,3,534.8911111,0 days 00:05:21.229000,11364,187,4,100,FALSE,8,car,11338.21722,0.317325893,OnTrack,-247,-1251,542
07:15.2,0 days 00:20:10.526000,3,532.5577778,0 days 00:05:21.305000,11084,188,4,100,FALSE,8,pos,11342.19057,0.317437096,OnTrack,-251,-1282,543
07:15.3,0 days 00:20:10.650000,3,530.2244444,0 days 00:05:21.429000,10804,190,4,100,FALSE,8,car,11348.77278,0.317621314,OnTrack,-257,-1343,543
07:15.4,0 days 00:20:10.746000,3,527.8911111,0 days 00:05:21.525000,10741,195,4,100,FALSE,8,pos,11354.08168,0.317769896,OnTrack,-264,-1401,543
07:15.5,0 days 00:20:10.810000,3,525.5577778,0 days 00:05:21.589000,10678,201,5,100,FALSE,8,car,11357.70611,0.317871334,OnTrack,-268,-1444,542
07:15.7,0 days 00:20:10.970000,3,520.3133333,0 days 00:05:21.749000,11071,209,5,100,FALSE,8,car,11366.995,0.318131305,OnTrack,-281,-1566,542
07:15.7,0 days 00:20:11.066000,3,516.7855556,0 days 00:05:21.845000,11257,211,5,100,FALSE,8,pos,11372.67807,0.318290358,OnTrack,-290,-1631,542
07:15.9,0 days 00:20:11.170000,3,513.2577778,0 days 00:05:21.949000,11443,214,5,100,FALSE,8,car,11378.88389,0.318464042,OnTrack,-298,-1688,541
07:16.1,0 days 00:20:11.450000,3,502.7577778,0 days 00:05:22.229000,11811,217,5,100,FALSE,8,car,11395.76167,0.318936406,OnTrack,-325,-1811,541
07:16.2,0 days 00:20:11.486000,3,500.5503704,0 days 00:05:22.265000,11909,219,5,100,FALSE,8,pos,11397.98695,0.318998685,OnTrack,-331,-1831,542
07:16.3,0 days 00:20:11.606000,3,498.342963,0 days 00:05:22.385000,12007,222,5,100,FALSE,8,pos,11405.50865,0.319209197,OnTrack,-351,-1904,542
07:16.3,0 days 00:20:11.610000,3,496.1355556,0 days 00:05:22.389000,12105,225,5,100,FALSE,8,car,11405.76167,0.319216278,OnTrack,-351,-1906,541
07:16.6,0 days 00:20:11.930000,3,482.2688889,0 days 00:05:22.709000,10731,232,5,100,FALSE,8,car,11426.38389,0.319793438,OnTrack,-427,-2138,541
07:16.6,0 days 00:20:11.946000,3,477.63,0 days 00:05:22.725000,10855,234,5,100,FALSE,8,pos,11427.42663,0.319822622,OnTrack,-431,-2148,541
07:16.8,0 days 00:20:12.130000,3,472.9911111,0 days 00:05:22.909000,10979,236,6,100,FALSE,8,car,11439.495,0.320160383,OnTrack,-460,-2233,540
07:17.0,0 days 00:20:12.325000,3,463.2688889,0 days 00:05:23.104000,11176,239,6,100,FALSE,8,pos,11452.54552,0.320525631,OnTrack,-505,-2348,541
07:17.2,0 days 00:20:12.530000,3,453.5466667,0 days 00:05:23.309000,11373,243,6,100,FALSE,8,car,11466.495,0.320916039,OnTrack,-588,-2550,541
07:17.2,0 days 00:20:12.545000,3,448.6022222,0 days 00:05:23.324000,11442,245,6,100,FALSE,8,pos,11467.52163,0.320944772,OnTrack,-593,-2562,541
07:17.4,0 days 00:20:12.730000,3,443.6577778,0 days 00:05:23.509000,11512,248,6,100,FALSE,8,car,11480.27278,0.321301642,OnTrack,-620,-2628,541
07:17.5,0 days 00:20:12.845000,3,434.1022222,0 days 00:05:23.624000,11640,251,6,100,FALSE,8,pos,11488.33019,0.321527147,OnTrack,-644,-2676,541
07:17.8,0 days 00:20:13.130000,3,424.5466667,0 days 00:05:23.909000,11768,255,6,100,FALSE,8,car,11508.60611,0.322094615,OnTrack,-788,-2946,540
07:17.9,0 days 00:20:13.185000,3,419.1466667,0 days 00:05:23.964000,11138,256,6,100,FALSE,8,pos,11512.52662,0.322204339,OnTrack,-818,-2995,541
07:18.1,0 days 00:20:13.370000,3,413.7466667,0 days 00:05:24.149000,10508,257,6,100,FALSE,8,car,11525.73944,0.32257413,OnTrack,-905,-3112,541
07:18.2,0 days 00:20:13.525000,3,410.1022222,0 days 00:05:24.304000,10516,258,6,100,FALSE,8,pos,11536.88935,0.322886186,OnTrack,-967,-3179,542
07:18.2,0 days 00:20:13.530000,3,406.4577778,0 days 00:05:24.309000,10525,259,7,100,FALSE,8,car,11537.25056,0.322896295,OnTrack,-968,-3180,542
07:18.5,0 days 00:20:13.770000,3,396.7244444,0 days 00:05:24.549000,10605,262,7,100,FALSE,8,car,11554.71722,0.32338514,OnTrack,-1047,-3258,541
07:18.6,0 days 00:20:13.885000,3,390.1244444,0 days 00:05:24.664000,10680,264,7,100,FALSE,8,pos,11563.18862,0.323622231,OnTrack,-1095,-3298,542
